Time Serie Results File    
NAME   : TAVIRA 381A-02 
LOCALIZATION_I : -999999  
LOCALIZATION_J : -999999  
LOCALIZATION_K : 1  
SERIE_INITIAL_DATA   : 1999 6 22 17 40 0   
TIME_UNITS :  SECONDS  
MODEL_DOMAIN   :   
COORD_X : -7.6300  
COORD_Y : 37.1150  
Seconds YY MM DD hh mm ss Temp(oC) Sal Pressao(Kpa) DirN(o) VelC(cm/s) Comp-u(cm/s) Comp-v(cm/s) Turb(ftu)
<BeginTimeSerie>    
0 1999 6 22 17 40 0 2.36E+01 3.60E+01 1.30E+01 2.07E+02 2.00E+01 -8.98E+00 -1.79E+01 2.80E+00
600 1999 6 22 17 50 0 2.35E+01 3.60E+01 1.30E+01 2.08E+02 2.05E+01 -9.65E+00 -1.81E+01 2.63E+00
1200 1999 6 22 18 0 0 2.33E+01 3.61E+01 1.30E+01 2.09E+02 2.30E+01 -1.12E+01 -2.01E+01 2.24E+00
1800 1999 6 22 18 10 0 2.31E+01 3.61E+01 1.30E+01 2.07E+02 2.59E+01 -1.17E+01 -2.31E+01 2.04E+00
2400 1999 6 22 18 20 0 2.28E+01 3.61E+01 1.30E+01 2.05E+02 2.40E+01 -1.01E+01 -2.17E+01 1.99E+00
3000 1999 6 22 18 30 0 2.24E+01 3.61E+01 1.30E+01 1.98E+02 2.89E+01 -9.00E+00 -2.74E+01 1.46E+00
3600 1999 6 22 18 40 0 2.22E+01 3.60E+01 1.30E+01 2.10E+02 2.64E+01 -1.31E+01 -2.29E+01 1.18E+00
4200 1999 6 22 18 50 0 2.21E+01 3.60E+01 1.30E+01 2.07E+02 2.98E+01 -1.35E+01 -2.66E+01 9.90E-01
4800 1999 6 22 19 0 0 2.20E+01 3.61E+01 1.30E+01 2.07E+02 3.08E+01 -1.41E+01 -2.74E+01 9.40E-01
5400 1999 6 22 19 10 0 2.19E+01 3.61E+01 1.30E+01 2.15E+02 2.74E+01 -1.56E+01 -2.25E+01 9.00E-01
6000 1999 6 22 19 20 0 2.20E+01 3.61E+01 1.30E+01 2.11E+02 2.89E+01 -1.48E+01 -2.48E+01 9.00E-01
6600 1999 6 22 19 30 0 2.20E+01 3.61E+01 1.30E+01 2.11E+02 3.13E+01 -1.60E+01 -2.69E+01 8.50E-01
7200 1999 6 22 19 40 0 2.20E+01 3.61E+01 1.30E+01 2.13E+02 3.08E+01 -1.66E+01 -2.60E+01 8.10E-01
7800 1999 6 22 19 50 0 2.19E+01 3.61E+01 1.30E+01 2.13E+02 3.03E+01 -1.63E+01 -2.55E+01 8.10E-01
8400 1999 6 22 20 0 0 2.19E+01 3.61E+01 1.30E+01 2.13E+02 2.84E+01 -1.56E+01 -2.37E+01 8.10E-01
9000 1999 6 22 20 10 0 2.18E+01 3.60E+01 1.30E+01 2.16E+02 3.23E+01 -1.90E+01 -2.61E+01 7.60E-01
9600 1999 6 22 20 20 0 2.17E+01 3.61E+01 1.30E+01 2.13E+02 2.98E+01 -1.62E+01 -2.50E+01 7.60E-01
10200 1999 6 22 20 30 0 2.17E+01 3.61E+01 1.30E+01 2.09E+02 2.98E+01 -1.45E+01 -2.61E+01 7.60E-01
10800 1999 6 22 20 40 0 2.16E+01 3.61E+01 1.30E+01 2.14E+02 3.03E+01 -1.68E+01 -2.52E+01 7.10E-01
11400 1999 6 22 20 50 0 2.15E+01 3.61E+01 1.30E+01 2.12E+02 2.79E+01 -1.49E+01 -2.36E+01 7.10E-01
12000 1999 6 22 21 0 0 2.15E+01 3.61E+01 1.30E+01 2.16E+02 2.35E+01 -1.38E+01 -1.90E+01 7.10E-01
12600 1999 6 22 21 10 0 2.14E+01 3.61E+01 1.30E+01 2.13E+02 1.96E+01 -1.06E+01 -1.64E+01 7.10E-01
13200 1999 6 22 21 20 0 2.13E+01 3.60E+01 1.30E+01 2.10E+02 1.86E+01 -9.42E+00 -1.60E+01 7.60E-01
13800 1999 6 22 21 30 0 2.13E+01 3.61E+01 1.30E+01 2.10E+02 1.91E+01 -9.47E+00 -1.66E+01 7.10E-01
14400 1999 6 22 21 40 0 2.12E+01 3.61E+01 1.30E+01 2.10E+02 1.66E+01 -8.43E+00 -1.43E+01 7.60E-01
